Postcode,State,Population,Dwellings,TotalInstallations,InstallationsPer1000,MedianIncome,IncomeBand
3029,VIC,129888,42150,24946,592,1960,Medium
4670,QLD,84718,38153,23269,610,1194,Low
4655,QLD,66789,31243,21884,700,1109,Low
6210,WA,75034,37455,21524,575,1222,Low
4551,QLD,68286,31107,19997,643,1489,Low
3977,VIC,117143,39456,19117,485,1895,Medium
4350,QLD,115218,50441,18538,368,1428,Low
3064,VIC,114413,35875,18485,515,1822,Medium
6065,WA,68443,24470,17826,728,2133,Medium
4740,QLD,85500,36769,17719,482,1839,Medium
6112,WA,70564,26369,17661,670,1853,Medium
3030,VIC,119201,43560,17264,396,2057,Medium
4300,QLD,68675,24483,16457,672,2032,Medium
6164,WA,66124,24958,16422,658,2210,Medium
4207,QLD,68477,26597,16009,602,1494,Low